HELP_ID	CODE	UMASK	OTHER	COMMON	WEIGHT	COUNTER	NAME	DESCRIPTION	HELP_FILE	OVERFLOW	SAV_LOWER_LIMIT	DEFAULT	CALIBRATION	PRECISE_EVENT	EM TRIGGER
0x10001	0x2	0x83	0x53	0x9	0	"0,1"	STORE_FORWARDS.ANY	All store forwards	pmb.chm	200000	0	0	0	0	0
0x10001	0x2	0x81	0x53	0x9	0	"0,1"	STORE_FORWARDS.GOOD	Good store forwards	pmb.chm	200000	0	0	0	0	0
0x10002	0x3	0x7F	0x53	0x5	0	"0,1"	REISSUE.ANY	Micro-op reissues for any cause	pmb.chm	200000	0	0	0	0	0
0x10002	0x3	0xFF	0x53	0x5	0	"0,1"	REISSUE.ANY.AR	Micro-op reissues for any cause (At Retirement)	pmb.chm	200000	0	0	0	0	0
0x10003	0x5	0xF	0x53	0x9	0	"0,1"	MISALIGN_MEM_REF.SPLIT	Memory references that cross an 8-byte boundary.	pmb.chm	200000	0	0	0	0	0
0x10003	0x5	0x9	0x53	0x9	0	"0,1"	MISALIGN_MEM_REF.LD_SPLIT	Load splits	pmb.chm	200000	0	0	0	0	0
0x10003	0x5	0xA	0x53	0x9	0	"0,1"	MISALIGN_MEM_REF.ST_SPLIT	Store splits	pmb.chm	200000	0	0	0	0	0
0x10003	0x5	0x8F	0x53	0x9	0	"0,1"	MISALIGN_MEM_REF.SPLIT.AR	Memory references that cross an 8-byte boundary (At Retirement)	pmb.chm	200000	0	0	0	0	0
0x10003	0x5	0x89	0x53	0x9	0	"0,1"	MISALIGN_MEM_REF.LD_SPLIT.AR	Load splits (At Retirement)	pmb.chm	200000	0	0	0	0	0
0x10003	0x5	0x8A	0x53	0x9	0	"0,1"	MISALIGN_MEM_REF.ST_SPLIT.AR	Store splits (Ar Retirement)	pmb.chm	200000	0	0	0	0	0
0x10003	0x5	0x8C	0x53	0x9	0	"0,1"	MISALIGN_MEM_REF.RMW_SPLIT	ld-op-st splits	pmb.chm	200000	0	0	0	0	0
0x10003	0x5	0x97	0x53	0x9	0	"0,1"	MISALIGN_MEM_REF.BUBBLE	Nonzero segbase 1 bubble	pmb.chm	200000	0	0	0	0	0
0x10003	0x5	0x91	0x53	0x9	0	"0,1"	MISALIGN_MEM_REF.LD_BUBBLE	Nonzero segbase load 1 bubble	pmb.chm	200000	0	0	0	0	0
0x10003	0x5	0x92	0x53	0x9	0	"0,1"	MISALIGN_MEM_REF.ST_BUBBLE	Nonzero segbase store 1 bubble	pmb.chm	200000	0	0	0	0	0
0x10003	0x5	0x94	0x53	0x9	0	"0,1"	MISALIGN_MEM_REF.RMW_BUBBLE	Nonzero segbase ld-op-st 1 bubble	pmb.chm	200000	0	0	0	0	0
0x10004	0x6	0x80	0x53	0x3	0	"0,1"	SEGMENT_REG_LOADS.ANY	Number of segment register loads.	pmb.chm	200000	0	0	0	0	0
