CODE	UMASK	NAME	DESCRIPTION	COUNTER	OVERFLOW	MSR_INDEX	MSR_VALUE	PRECISE_EVENT	SAV_LOWER_LIMIT	OTHER	DEFAULT	EM_TRIGGER	MATRIX_EVENT	VISIBILITY
0xC4	0x00	BR_INST_RETIRED.ALL_BRANCHES	Counts the number of branch instructions retired...	"0,1"	200003	0	0	0	0	0x53	0	0	0	Public
0xC4	0x7E	BR_INST_RETIRED.JCC	Counts the number of JCC branch instructions retired	"0,1"	2000003	0	0	0	0	0x53	0	0	0	Public
0xC4	0xFE	BR_INST_RETIRED.TAKEN_JCC	Counts the number of taken JCC branch instructions retired	"0,1"	2000003	0	0	0	0	0x53	0	0	0	Public
0xC4	0xF9	BR_INST_RETIRED.CALL	Counts the number of near CALL branch instructions retired	"0,1"	2000003	0	0	0	0	0x53	0	0	0	Public
0xC4	0xFD	BR_INST_RETIRED.REL_CALL	Counts the number of near relative CALL branch instructions retired	"0,1"	2000003	0	0	0	0	0x53	0	0	0	Public
0xC4	0xFB	BR_INST_RETIRED.IND_CALL	Counts the number of near indirect CALL branch instructions retired	"0,1"	2000003	0	0	0	0	0x53	0	0	0	Public
0xC4	0xF7	BR_INST_RETIRED.RETURN	Counts the number of near RET branch instructions retired	"0,1"	2000003	0	0	0	0	0x53	0	0	0	Public
0xC4	0xEB	BR_INST_RETIRED.NON_RETURN_IND	Counts the number of near indirect JMP and near indirect CALL branch instructions retired	"0,1"	2000003	0	0	0	0	0x53	0	0	0	Public
0xC4	0xBF	BR_INST_RETIRED.FAR_BRANCH	Counts the number of far branch instructions retired	"0,1"	2000003	0	0	0	0	0x53	0	0	0	Public
0xC4	0x00	BR_INST_RETIRED.ALL_BRANCHES_PS	Counts the number of branch instructions retired (Precise Event)	"0,1"	2000003	0	0	1	0	0x53	0	0	0	Public
0xC4	0x7E	BR_INST_RETIRED.JCC_PS	Counts the number of JCC branch instructions retired (Precise Event)	"0,1"	2000003	0	0	1	0	0x53	0	0	0	Public
0xC4	0xFE	BR_INST_RETIRED.TAKEN_JCC_PS	Counts the number of taken JCC branch instructions retired (Precise Event)	"0,1"	2000003	0	0	1	0	0x53	0	0	0	Public
0xC4	0xF9	BR_INST_RETIRED.CALL_PS	Counts the number of near CALL branch instructions retired (Precise Event)	"0,1"	2000003	0	0	1	0	0x53	0	0	0	Public
0xC4	0xFD	BR_INST_RETIRED.REL_CALL_PS	Counts the number of near relative CALL branch instructions retired (Precise Event)	"0,1"	2000003	0	0	1	0	0x53	0	0	0	Public
0xC4	0xFB	BR_INST_RETIRED.IND_CALL_PS	Counts the number of near indirect CALL branch instructions retired (Precise Event)	"0,1"	2000003	0	0	1	0	0x53	0	0	0	Public
0xC4	0xF7	BR_INST_RETIRED.RETURN_PS	Counts the number of near RET branch instructions retired (Precise Event)	"0,1"	2000003	0	0	1	0	0x53	0	0	0	Public
0xC4	0xEB	BR_INST_RETIRED.NON_RETURN_IND_PS	Counts the number of near indirect JMP and near indirect CALL branch instructions retired (Precise Event)	"0,1"	2000003	0	0	1	0	0x53	0	0	0	Public
